"<a href=""https://en.wikipedia.org/wiki/Abyssal_plain"" title=""Abyssal plain"">abyssal plain</a>"|"
<dd class=""glossary"">Flat or very gently sloping areas of the deep ocean basin floor.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Trachyte"" title=""Trachyte"">trachyte</a>"|"
<dd class=""glossary"">A fine-grained <a href=""#igneous_rock""><span title=""See entry on this page at § igneous rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">igneous rock</span></a> type of intermediate composition, in most cases with little or no <a href=""#quartz""><span title=""See entry on this page at § quartz"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">quartz</span></a>, consisting largely of alkali-feldspars (sanidene or oligooclase) together with a small amount of coloured silicates such as diopside, horneblende, or mica.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Travertine"" title=""Travertine"">travertine</a>"|"
<dd class=""glossary"">A terrestrial <a href=""#sedimentary_rock""><span title=""See entry on this page at § sedimentary rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sedimentary rock</span></a> formed by the precipitation of carbonate minerals from solution in ground and surface waters and/or geothermally heated hot springs.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Triclinic"" class=""mw-redirect"" title=""Triclinic"">triclinic</a>"|"
<dd class=""glossary"">In the triclinic system, the crystal is described by vectors of unequal length, and none of the three vectors are orthogonal to another.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Tuff"" title=""Tuff"">tuff</a>"|"
<dd class=""glossary"">A rock formed of compacted volcanic fragments, some of which can be distinguished by the naked eye. If the fragments are larger than the rock grades into an agglomerate.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Tundra"" title=""Tundra"">tundra</a>"|"
<dd class=""glossary"">A vast, flat, treeless Arctic region of Europe, Asia, and North America in which the subsoil is permanently frozen.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Turbidite"" title=""Turbidite"">turbidite</a>"|"
<dd class=""glossary"">The deposit of a turbidity current.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Turbidity_current"" title=""Turbidity current"">turbidity current</a>"|"
<dd class=""glossary"">A current of rapidly moving, sediment-laden water moving down a slope through water, or another fluid. The current moves because it has a higher density than the fluid through which it flows.</dd>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Tygerberg_formation&amp;action=edit&amp;redlink=1"" class=""new"" title=""Tygerberg formation (page does not exist)"">Tygerberg formation</a>"|"
<dd class=""glossary"">A component of the PreCambrian <a href=""https://en.wikipedia.org/w/index.php?title=Malmesbury_group&amp;action=edit&amp;redlink=1"" class=""new"" title=""Malmesbury group (page does not exist)"">Malmesbury group</a> of South Africa</dd>

"
"<a href=""https://en.wikipedia.org/wiki/Ultramafic"" class=""mw-redirect"" title=""Ultramafic"">ultramafic</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Sometimes used interchangeably with <b>ultrabasic</b>.</span></p>
<dd class=""glossary"">Almost <a href=""#feldspar""><span title=""See entry on this page at § feldspar"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">feldspar</span></a>-free. Examples of ultramafic rocks include <a href=""https://en.wikipedia.org/wiki/Dunite"" title=""Dunite"">dunite</a>, <a href=""https://en.wikipedia.org/wiki/Peridotite"" title=""Peridotite"">peridotite</a>, and <a href=""https://en.wikipedia.org/wiki/Pyroxenite"" title=""Pyroxenite"">pyroxenite</a>.</dd>
"
"urgonian"|"
<dd class=""glossary"">A shallow-water carbonate <a href=""#facies""><span title=""See entry on this page at § facies"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">facies</span></a> deposited along the northern margins of the <a href=""#tethys_Ocean""><span title=""See entry on this page at § Tethys Ocean"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Tethys Ocean</span></a> during the <a href=""https://en.wikipedia.org/wiki/Barremian"" title=""Barremian"">Barremian</a> and <a href=""https://en.wikipedia.org/wiki/Aptian"" title=""Aptian"">Aptian</a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Vacuole"" title=""Vacuole"">vacuole</a>"|"
<dd class=""glossary"">A bubble inclusion within mineral grains (typically monocrystalline quartz), filled with liquid, gas, or both liquid and gas. Vacuoles are randomly distributed in contrast to the oriented bubble trains of Boehm Lamellae.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Variscan_orogeny"" title=""Variscan orogeny"">Variscan orogeny</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also called the <b>Hercynian orogeny</b>.</span></p>
<dd class=""glossary"">A geologic mountain-building event caused by Late Paleozoic continental collision between Euramerica (Laurussia) and Gondwana to form the supercontinent of Pangaea.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Varve"" title=""Varve"">varve</a>"|"
<dd class=""glossary"">An annual layer of sediment or <a href=""#sedimentary_rock""><span title=""See entry on this page at § sedimentary rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sedimentary rock</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Vein_(geology)"" title=""Vein (geology)"">vein</a>"|"
<dd class=""glossary"">A <a href=""#mineral""><span title=""See entry on this page at § mineral"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">mineral</span></a> filling of a fracture or other crack within a rock in a sheet-like or tabular shape.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Vermiculite"" title=""Vermiculite"">vermiculite</a>"|"
<dd class=""glossary"">A hydrous <a href=""#silicate""><span title=""See entry on this page at § silicate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">silicate</span></a> mineral that is classified as a phyllosilicate and that expands greatly when heated. Exfoliation occurs when the mineral is heated sufficiently.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Vergence_(geology)"" title=""Vergence (geology)"">vergence</a>"|"
<dd class=""glossary"">The direction of overturning of asymmetric folds, which matches the direction of <a href=""https://en.wikipedia.org/wiki/Thrust_fault"" title=""Thrust fault"">thrusting</a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Vesicular_texture"" title=""Vesicular texture"">vesiculated</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Vitrinite"" title=""Vitrinite"">vitrinite</a>"|"
<dd class=""glossary"">A group of <a href=""#maceral""><span title=""See entry on this page at § maceral"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">macerals</span></a> that are the most common component of coal.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Vitrophyre"" title=""Vitrophyre"">vitrophyre</a>"|"
<dd class=""glossary"">See <i><a href=""#pitchstone""><span title=""See entry on this page at § pitchstone"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">pitchstone</span></a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Volcanic"" class=""mw-redirect"" title=""Volcanic"">volcanic</a>"|"
<dd class=""glossary"">Rocks that have crystallised from magma poured out at the surface or introduced at shallow depth. They have cooled relatively rapidly, the grain size of the crystals is small, some part of the melt may solidify as glass, volatiles are lost and anhydrous minerals with high temperatures of crystallisation are present.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Volcanic_bomb"" title=""Volcanic bomb"">volcanic bomb</a>"|"
<dd class=""glossary"">Rounded or spindle-shaped rock of mainly basaltic composition ejected during eruptions.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Vug"" title=""Vug"">vug</a>"|"
<dd class=""glossary"">A small cavity in a rock filled or lined with <a href=""#crystal""><span title=""See entry on this page at § crystal"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">crystals</span></a> or <a href=""#mineral""><span title=""See entry on this page at § mineral"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">minerals</span></a> that are different from the host rock.</dd>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Wiggle_trace&amp;action=edit&amp;redlink=1"" class=""new"" title=""Wiggle trace (page does not exist)"">wiggle trace</a>"|"
<dd class=""glossary"">A graph that plots wave amplitudes (recorded by <a href=""https://en.wikipedia.org/wiki/Seismic_reflection"" class=""mw-redirect"" title=""Seismic reflection"">seismic reflection</a> and <a href=""https://en.wikipedia.org/wiki/Borehole_logging"" class=""mw-redirect"" title=""Borehole logging"">borehole logging</a>) as a function of time, with the positive peaks shaded in a single dark colour.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Wolframite"" title=""Wolframite"">wolframite</a>"|"
<dd class=""glossary"">An iron manganese tungstate mineral with the chemical formula (Fe,Mn)WO<sub>4</sub>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Xenolith"" title=""Xenolith"">xenolith</a>"|"
<dd class=""glossary"">A rock fragment which becomes enveloped in a larger rock during the latter's development and hardening. In geology, the term is almost exclusively used to describe inclusions in <a href=""#igneous_rock""><span title=""See entry on this page at § igneous rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">igneous rock</span></a> during magma emplacement and eruption.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Xenotime"" title=""Xenotime"">xenotime</a>"|"
<dd class=""glossary"">A rare earth phosphate mineral whose major component is <a href=""https://en.wikipedia.org/wiki/Yttrium_orthophosphate"" class=""mw-redirect"" title=""Yttrium orthophosphate"">yttrium orthophosphate</a> (YPO<sub>4</sub>).</dd>
"
"<a href=""https://en.wikipedia.org/wiki/X-ray_diffraction"" class=""mw-redirect"" title=""X-ray diffraction"">X-ray diffraction</a> (XRD)"|"
<dd class=""glossary"">A method of determining the arrangement of atoms within a crystal, in which a beam of X-rays strikes a crystal and diffracts into many specific directions.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/X-ray_fluorescence"" title=""X-ray fluorescence"">X-ray fluorescence</a> (XRF)"|"
<dd class=""glossary"">The emission of characteristic ""secondary"" (or fluorescent) X-rays from a material that has been excited by bombarding with high-energy X-rays or gamma rays. The phenomenon is widely used for elemental analysis and chemical analysis of minerals.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Xyloid_coal"" class=""mw-redirect"" title=""Xyloid coal"">xyloid coal</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also called <b>lignite</b> or <b>brown coal</b>.</span></p>
<dd class=""glossary"">A soft brown fuel with characteristics that put it somewhere between <a href=""https://en.wikipedia.org/wiki/Coal"" title=""Coal"">coal</a> and <a href=""https://en.wikipedia.org/wiki/Peat"" title=""Peat"">peat</a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Yellow_cake"" class=""mw-redirect"" title=""Yellow cake"">yellow cake</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also <b>yellowcake</b> or <b>urania</b>.</span></p>
<dd class=""glossary"">A kind of <a href=""https://en.wikipedia.org/wiki/Uranium"" title=""Uranium"">uranium</a> concentrate powder obtained from leach solutions in an intermediate step in the enrichment of uranium ores.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Young%27s_modulus"" title=""Young&#39;s modulus"">Young's modulus</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also called the <b>tensile modulus</b>.</span></p>
<dd class=""glossary"">In solid mechanics, a measure of the stiffness of an isotropic elastic material. It is defined as the ratio of the uniaxial stress over the uniaxial strain in the range of stress in which <a href=""https://en.wikipedia.org/wiki/Hooke%27s_Law"" class=""mw-redirect"" title=""Hooke&#39;s Law"">Hooke's Law</a> holds.</dd>
"
